Method,Image_Name,PSNR,SSIM,MSE
denoised_ista,denoised_ista_000001.jpeg,20.1866,0.7761,622.9067
denoised_ista,denoised_ista_009987.jpeg,16.1373,0.5590,1582.5085
denoised_ista,Average,18.1620,0.6675,1102.7076
denoised_admm,denoised_000001.jpeg,20.1633,0.6749,626.2576
denoised_admm,denoised_009987.jpeg,16.1653,0.4722,1572.3608
denoised_admm,Average,18.1643,0.5736,1099.3092
denoised_fista,denoised_fista_009987.jpeg,16.0541,0.5524,1613.1191
denoised_fista,denoised_fista_000001.jpeg,20.1283,0.7745,631.3210
denoised_fista,Average,18.0912,0.6635,1122.2201
edge_images,prewitt_hybrid.png,10.2366,0.1362,6157.6982
edge_images,gaussian_blue_kernel.png,1.7576,0.0832,43383.5012
edge_images,laplcian_gaussian.png,13.9147,0.3996,2640.0642
edge_images,scharr_operator.png,8.6895,0.0360,8792.7720
edge_images,prewitt_horizontal_edge.png,10.1858,0.0342,6230.1274
edge_images,bilaplcian.png,10.6155,0.1424,5643.3037
edge_images,general_sharpening_kernel.png,23.0137,0.8570,324.8733
edge_images,laplcian_1.png,10.2614,0.0612,6122.6653
edge_images,prewitt_vertical_edge.png,10.3548,0.0435,5992.4072
edge_images,roberts_cross.png,9.6941,0.0187,6977.0327
edge_images,sobel_horizontal_edge.png,10.0561,0.0336,6419.0464
edge_images,sobel_vertical_edge.png,10.3094,0.0591,6055.3193
edge_images,laplcian_2.png,11.8484,0.2316,4248.5383
